"Symbol,DateTime,Open,High,Low,Close"
"SPX,4/20/2012 12:00:00 AM,1376.96,1387.4,1376.96,1378.53"
"SPX,4/23/2012 12:00:00 AM,1378.53,1378.53,1358.79,1366.94"
"SPX,4/24/2012 12:00:00 AM,1366.97,1375.57,1366.82,1371.97"
"SPX,4/25/2012 12:00:00 AM,1372.11,1391.37,1372.11,1390.69"
"SPX,4/26/2012 12:00:00 AM,1390.64,1402.09,1387.28,1399.98"
"SPX,4/27/2012 12:00:00 AM,1400.19,1406.64,1397.31,1403.36"
"SPX,4/30/2012 12:00:00 AM,1403.26,1403.26,1394,1397.91"
"SPX,5/1/2012 12:00:00 AM,1397.86,1415.32,1395.73,1405.82"
"SPX,5/2/2012 12:00:00 AM,1405.5,1405.5,1393.92,1402.31"
"SPX,5/3/2012 12:00:00 AM,1402.32,1403.07,1388.71,1391.57"
"SPX,5/4/2012 12:00:00 AM,1391.51,1391.51,1367.96,1369.1"
"SPX,5/7/2012 12:00:00 AM,1368.79,1373.91,1363.94,1369.58"
"SPX,5/8/2012 12:00:00 AM,1369.16,1369.16,1347.75,1363.72"
"SPX,5/9/2012 12:00:00 AM,1363.2,1363.73,1343.13,1354.58"
"SPX,5/10/2012 12:00:00 AM,1354.58,1365.88,1354.58,1357.99"
"SPX,5/11/2012 12:00:00 AM,1358.11,1365.66,1348.89,1353.39"
"SPX,5/14/2012 12:00:00 AM,1351.93,1351.93,1336.61,1338.35"
"SPX,5/15/2012 12:00:00 AM,1338.36,1344.94,1328.41,1330.66"
"SPX,5/16/2012 12:00:00 AM,1330.78,1341.78,1324.79,1324.8"
"SPX,5/17/2012 12:00:00 AM,1324.82,1326.36,1304.86,1304.86"
"SPX,5/18/2012 12:00:00 AM,1305.05,1312.24,1291.98,1295.22"
"SPX,5/21/2012 12:00:00 AM,1295.73,1316.39,1295.73,1315.99"
"SPX,5/22/2012 12:00:00 AM,1316.09,1328.49,1310.04,1316.63"
"SPX,5/23/2012 12:00:00 AM,1316.02,1320.71,1296.53,1318.86"
"SPX,5/24/2012 12:00:00 AM,1318.72,1324.14,1310.5,1320.68"
"SPX,5/25/2012 12:00:00 AM,1320.81,1324.2,1314.23,1317.82"
"SPX,5/29/2012 12:00:00 AM,1318.9,1334.93,1318.9,1332.42"
"SPX,5/30/2012 12:00:00 AM,1331.25,1331.25,1310.76,1313.32"
"SPX,5/31/2012 12:00:00 AM,1313.09,1319.74,1298.9,1310.33"
"SPX,6/1/2012 12:00:00 AM,1309.87,1309.87,1277.25,1278.04"
"SPX,6/4/2012 12:00:00 AM,1278.29,1282.55,1266.74,1278.18"
"SPX,6/5/2012 12:00:00 AM,1277.82,1287.62,1274.16,1285.5"
"SPX,6/6/2012 12:00:00 AM,1285.61,1315.13,1285.61,1315.13"
"SPX,6/7/2012 12:00:00 AM,1316.15,1329.05,1312.68,1314.99"
"SPX,6/8/2012 12:00:00 AM,1314.99,1325.81,1307.77,1325.66"
"SPX,6/11/2012 12:00:00 AM,1325.72,1335.52,1307.73,1308.93"
"SPX,6/12/2012 12:00:00 AM,1309.4,1324.31,1306.62,1324.18"
"SPX,6/13/2012 12:00:00 AM,1324.02,1327.28,1310.51,1314.88"
"SPX,6/14/2012 12:00:00 AM,1314.88,1333.68,1314.14,1329.1"
"SPX,6/15/2012 12:00:00 AM,1329.19,1343.32,1329.19,1342.84"
"SPX,6/18/2012 12:00:00 AM,1342.42,1348.22,1334.46,1344.78"
"SPX,6/19/2012 12:00:00 AM,1344.83,1363.46,1344.83,1357.98"
"SPX,6/20/2012 12:00:00 AM,1358.04,1361.57,1346.45,1355.69"
"SPX,6/21/2012 12:00:00 AM,1355.43,1358.27,1324.41,1325.51"
"SPX,6/22/2012 12:00:00 AM,1325.92,1337.82,1325.92,1335.02"
"SPX,6/25/2012 12:00:00 AM,1334.9,1334.9,1309.27,1313.72"
"SPX,6/26/2012 12:00:00 AM,1314.09,1324.24,1310.3,1319.99"
"SPX,6/27/2012 12:00:00 AM,1320.71,1334.4,1320.71,1331.85"
"SPX,6/28/2012 12:00:00 AM,1331.52,1331.52,1313.29,1329.04"
"SPX,6/29/2012 12:00:00 AM,1330.12,1362.17,1330.12,1362.16"
"SPX,7/2/2012 12:00:00 AM,1362.33,1366.35,1355.7,1365.51"
"SPX,7/3/2012 12:00:00 AM,1365.75,1374.81,1363.53,1374.02"
"SPX,7/5/2012 12:00:00 AM,1373.72,1373.85,1363.02,1367.58"
"SPX,7/6/2012 12:00:00 AM,1367.09,1367.09,1348.03,1354.68"
"SPX,7/9/2012 12:00:00 AM,1354.66,1354.87,1346.65,1352.46"
"SPX,7/10/2012 12:00:00 AM,1352.96,1361.54,1336.27,1341.47"
"SPX,7/11/2012 12:00:00 AM,1341.4,1345,1333.25,1341.45"
"SPX,7/12/2012 12:00:00 AM,1341.29,1341.29,1325.41,1334.76"
"SPX,7/13/2012 12:00:00 AM,1334.81,1357.7,1334.81,1356.78"
"SPX,7/16/2012 12:00:00 AM,1356.5,1357.26,1348.51,1353.64"
"SPX,7/17/2012 12:00:00 AM,1353.68,1365.36,1345.07,1363.67"
"SPX,7/18/2012 12:00:00 AM,1363.58,1375.26,1358.96,1372.78"
"SPX,7/19/2012 12:00:00 AM,1373.01,1380.39,1371.21,1376.51"
"SPX,7/20/2012 12:00:00 AM,1376.51,1376.51,1362.19,1362.66"
"SPX,7/23/2012 12:00:00 AM,1362.34,1362.34,1337.56,1350.52"
"SPX,7/24/2012 12:00:00 AM,1350.52,1351.53,1329.24,1338.31"
"SPX,7/25/2012 12:00:00 AM,1338.35,1343.98,1331.5,1337.89"
"SPX,7/26/2012 12:00:00 AM,1338.17,1363.13,1338.17,1360.02"
"SPX,7/27/2012 12:00:00 AM,1360.05,1389.19,1360.05,1385.97"
"SPX,7/30/2012 12:00:00 AM,1385.94,1391.74,1381.37,1385.3"
"SPX,7/31/2012 12:00:00 AM,1385.27,1387.16,1379.17,1379.32"
"SPX,8/1/2012 12:00:00 AM,1379.32,1385.03,1373.35,1375.32"
"SPX,8/2/2012 12:00:00 AM,1375.13,1375.13,1354.65,1365"
"SPX,8/3/2012 12:00:00 AM,1365.45,1394.16,1365.45,1390.99"
"SPX,8/6/2012 12:00:00 AM,1391.04,1399.63,1391.04,1394.23"
"SPX,8/7/2012 12:00:00 AM,1394.46,1407.14,1394.46,1401.35"
"SPX,8/8/2012 12:00:00 AM,1401.23,1404.14,1396.13,1402.22"
"SPX,8/9/2012 12:00:00 AM,1402.26,1405.95,1398.8,1402.8"
"SPX,8/10/2012 12:00:00 AM,1402.58,1405.98,1395.62,1405.87"
"SPX,8/13/2012 12:00:00 AM,1405.87,1405.87,1397.32,1404.11"
"SPX,8/14/2012 12:00:00 AM,1404.36,1410.03,1400.6,1403.93"
"SPX,8/15/2012 12:00:00 AM,1403.89,1407.73,1401.83,1405.53"
"SPX,8/16/2012 12:00:00 AM,1405.57,1417.44,1404.15,1415.51"
"SPX,8/17/2012 12:00:00 AM,1415.84,1418.71,1414.67,1418.16"
"SPX,8/20/2012 12:00:00 AM,1417.85,1418.13,1412.12,1418.13"
"SPX,8/21/2012 12:00:00 AM,1418.13,1426.68,1410.86,1413.17"
"SPX,8/22/2012 12:00:00 AM,1413.09,1416.12,1406.78,1413.49"
"SPX,8/23/2012 12:00:00 AM,1413.49,1413.49,1400.5,1402.08"
"SPX,8/24/2012 12:00:00 AM,1401.99,1413.46,1398.04,1411.13"
"SPX,8/27/2012 12:00:00 AM,1411.13,1416.17,1409.11,1410.44"
"SPX,8/28/2012 12:00:00 AM,1410.44,1413.63,1405.59,1409.3"
"SPX,8/29/2012 12:00:00 AM,1409.32,1413.95,1406.57,1410.49"
"SPX,8/30/2012 12:00:00 AM,1410.08,1410.08,1397.01,1399.48"
"SPX,8/31/2012 12:00:00 AM,1400.07,1413.09,1398.96,1406.58"
"SPX,9/4/2012 12:00:00 AM,1406.54,1409.31,1396.56,1404.94"
"SPX,9/5/2012 12:00:00 AM,1404.94,1408.81,1401.25,1403.44"
"SPX,9/6/2012 12:00:00 AM,1403.74,1432.12,1403.74,1432.12"
"SPX,9/7/2012 12:00:00 AM,1432.12,1437.92,1431.45,1437.92"
"SPX,9/10/2012 12:00:00 AM,1437.92,1438.74,1428.98,1429.08"
"SPX,9/11/2012 12:00:00 AM,1429.13,1437.76,1429.13,1433.56"
"SPX,9/12/2012 12:00:00 AM,1433.56,1439.15,1432.99,1436.56"
"SPX,9/13/2012 12:00:00 AM,1436.56,1463.76,1435.34,1459.99"
"SPX,9/14/2012 12:00:00 AM,1460.07,1474.51,1460.07,1465.77"
"SPX,9/17/2012 12:00:00 AM,1465.42,1465.63,1457.55,1461.19"
"SPX,9/18/2012 12:00:00 AM,1461.19,1461.47,1456.13,1459.32"
"SPX,9/19/2012 12:00:00 AM,1459.5,1465.15,1457.88,1461.05"
"SPX,9/20/2012 12:00:00 AM,1461.05,1461.23,1449.98,1460.26"
"SPX,9/21/2012 12:00:00 AM,1460.34,1467.07,1459.51,1460.15"
"SPX,9/24/2012 12:00:00 AM,1459.76,1460.72,1452.06,1456.89"
"SPX,9/25/2012 12:00:00 AM,1456.94,1463.24,1441.59,1441.59"
"SPX,9/26/2012 12:00:00 AM,1441.6,1441.6,1430.53,1433.32"
"SPX,9/27/2012 12:00:00 AM,1433.36,1450.2,1433.36,1447.15"
"SPX,9/28/2012 12:00:00 AM,1447.13,1447.13,1435.6,1440.67"
"SPX,10/1/2012 12:00:00 AM,1440.9,1457.14,1440.9,1444.49"
