Symbol,DateTime,Open,High,Low,Close,Volume,EMA,SuperTrend1,SuperTrend2,SuperTrend3,SuperTrend4,RSI,LowerBollingerBand,MiddleBollingerBand,UpperBollingerBand,macdValue,macdAvg
GLD,1/9/2018 12:00:00 AM,124.49,124.86,124.23,124.73,9153584,124.2002,124.6002,124.274,123.4304,127.6389,66.8341,116.5795,121.784,126.9885,1.2302,0.7647
GLD,1/10/2018 12:00:00 AM,125.17,125.31,124.72,125.03,14809303,124.3661,123.9367,123.6646,122.7853,127.1833,68.2409,117.0504,122.135,127.2196,1.2432,0.8604
GLD,1/11/2018 12:00:00 AM,125.37,125.66,125.25,125.44,5994730,124.5809,124.4848,124.1874,123.3519,127.5197,70.107,117.5669,122.4995,127.4321,1.2719,0.9427
GLD,1/12/2018 12:00:00 AM,126.01,127.13,125.81,126.96,9258570,125.0567,124.9605,124.6633,123.8591,127.8651,75.7871,117.8407,122.889,127.9373,1.4012,1.0344
GLD,1/16/2018 12:00:00 AM,126.6,127.18,126.4,127.17,8083895,125.4794,125.7001,125.515,124.5768,129.2894,76.4529,118.2674,123.301,128.3346,1.5033,1.1282
GLD,1/17/2018 12:00:00 AM,126.77,127.22,125.9,126.14,10130509,125.6115,126.1097,125.8668,124.9523,129.5356,66.7579,118.8461,123.649,128.4519,1.4839,1.1993
GLD,1/18/2018 12:00:00 AM,126.13,126.52,125.8,125.86,6289271,125.6612,125.7822,125.5647,124.5886,129.4924,64.3682,119.417,123.9555,128.494,1.4295,1.2454
GLD,1/19/2018 12:00:00 AM,126.57,126.73,126.41,126.42,8773753,125.813,125.4917,125.2147,124.2772,128.9736,66.9187,120.0479,124.2855,128.5231,1.4153,1.2794
GLD,1/22/2018 12:00:00 AM,126.51,126.75,126.28,126.65,4893546,125.9804,125.9254,125.6384,124.711,129.3523,67.9339,120.7104,124.611,128.5116,1.4064,1.3048
GLD,1/23/2018 12:00:00 AM,126.53,127.35,126.34,127.28,6190410,126.2403,125.9967,125.6673,124.8091,129.0862,70.5958,121.4305,124.9595,128.4885,1.4336,1.3305
GLD,1/24/2018 12:00:00 AM,128.39,129.265,128.2338,128.83,11827554,126.7582,126.2512,125.9678,125.0868,129.4868,75.8971,121.9487,125.354,128.7593,1.5622,1.3769
GLD,1/25/2018 12:00:00 AM,128.69,129.515,127.36,127.97,15219664,127.0006,127.8373,127.6708,126.6225,131.9009,68.5161,122.5,125.664,128.828,1.5766,1.4168
GLD,1/26/2018 12:00:00 AM,128.24,128.52,127.97,128.07,7828744,127.2145,127.2869,127.1632,125.9468,132.0988,68.8949,123.0458,125.956,128.8662,1.5779,1.449
GLD,1/29/2018 12:00:00 AM,127.58,127.63,126.915,127.35,6956392,127.2416,127.4006,127.1024,125.9861,131.5968,63.016,123.5875,126.181,128.7745,1.5035,1.4599
GLD,1/30/2018 12:00:00 AM,127.91,127.9167,126.74,126.8,9736105,127.1533,128.1025,126.1276,125.0051,130.6417,58.8827,124.0099,126.3385,128.6671,1.3842,1.4448
GLD,1/31/2018 12:00:00 AM,127.45,127.85,126.4,127.65,13418904,127.2526,128.1558,126.1777,125.0466,130.7223,62.9296,124.1351,126.4635,128.7919,1.3427,1.4244
GLD,2/1/2018 12:00:00 AM,127.18,128.15,127.08,128.07,10854639,127.4161,128.0275,125.9199,124.7402,130.6661,64.7745,124.3256,126.626,128.9264,1.3285,1.4052
GLD,2/2/2018 12:00:00 AM,126.81,126.85,125.955,126.39,16789214,127.2109,126.7739,126.4345,125.271,131.1051,53.3395,124.4315,126.6725,128.9135,1.1681,1.3578
GLD,2/5/2018 12:00:00 AM,126.82,127.31,126.44,126.71,13596327,127.1107,127.4994,127.7529,123.7442,130.3318,54.9701,124.5867,126.7415,128.8963,1.0547,1.2972
GLD,2/6/2018 12:00:00 AM,126.54,126.55,125.22,125.38,17672450,126.7646,127.7907,128.1472,124.3531,130.6244,47.5347,124.5993,126.745,128.8907,0.8477,1.2073
GLD,2/7/2018 12:00:00 AM,125.48,125.77,124.41,124.79,8558460,126.3696,126.8516,127.1968,123.2867,129.7453,44.6494,124.6135,126.748,128.8825,0.6289,1.0916
GLD,2/8/2018 12:00:00 AM,124.92,125.44,124.51,124.98,7343637,126.0917,126.0508,126.4105,122.4714,128.9841,45.7906,124.6028,126.7455,128.8882,0.4654,0.9663
GLD,2/9/2018 12:00:00 AM,124.65,125.14,124.39,124.77,14140696,125.8274,125.8119,126.2245,122.4829,128.6992,44.6938,124.4701,126.712,128.9539,0.3152,0.8361
GLD,2/12/2018 12:00:00 AM,125.19,125.82,125.11,125.37,6984852,125.7359,125.4771,125.9237,122.4382,128.2624,48.4899,124.3198,126.6325,128.9452,0.2419,0.7173
GLD,2/13/2018 12:00:00 AM,125.67,126.18,125.52,126.08,5321327,125.8047,126.1863,126.6039,123.176,128.909,52.6331,124.2671,126.578,128.8889,0.2383,0.6215
GLD,2/14/2018 12:00:00 AM,126.47,128.59,126.29,128.23,16416413,126.2898,126.5096,126.9291,123.6725,129.138,62.4758,124.2734,126.6825,129.0916,0.4042,0.578
GLD,2/15/2018 12:00:00 AM,128.43,128.569,127.94,128.38,7276495,126.7078,126.3415,126.1007,124.7888,131.3806,63.0527,124.3223,126.8085,129.2947,0.5416,0.5707
