Symbol,DateTime,Open,High,Low,Close,Volume,EMA,SuperTrend1,SuperTrend2,SuperTrend3,SuperTrend4,RSI,LowerBollingerBand,MiddleBollingerBand,UpperBollingerBand,macdValue,macdAvg
SPX,4/11/2013 12:00:00 AM,1587.73,1597.35,1586.17,1593.37,0,1571.954,1567.0178,1563.4384,1548.3392,1533.4961,67.2785,1539.2242,1562.271,1585.3178,12.0749,10.7968
SPX,4/12/2013 12:00:00 AM,1593.3,1593.3,1579.97,1588.85,0,1575.3332,1581.5363,1577.126,1562.616,1548.2321,64.5888,1537.7509,1563.552,1589.3531,12.7811,11.1936
SPX,4/15/2013 12:00:00 AM,1588.84,1588.84,1552.28,1552.36,0,1570.7386,1576.7488,1572.2254,1557.8817,1543.6191,47.9297,1536.8971,1563.135,1589.3729,10.2779,11.0105
SPX,4/16/2013 12:00:00 AM,1552.36,1575.35,1552.36,1574.57,0,1571.5049,1586.7313,1588.9988,1606.7111,1517.2834,55.4599,1538.0827,1564.2585,1590.4343,9.9713,10.8026
SPX,4/17/2013 12:00:00 AM,1574.57,1574.57,1543.69,1552.01,0,1567.6059,1579.995,1583.1213,1601.6442,1508.1641,47.8848,1538.6667,1564.442,1590.2173,7.8178,10.2057
SPX,4/18/2013 12:00:00 AM,1552.03,1554.38,1536.03,1541.61,0,1562.4067,1577.4604,1580.5079,1600.9144,1497.7546,44.8439,1536.0347,1563.587,1591.1393,5.2119,9.2069
SPX,4/19/2013 12:00:00 AM,1541.61,1555.89,1539.4,1555.25,0,1560.9754,1561.3412,1566.0324,1586.142,1484.8027,49.3839,1537.435,1564.0595,1590.684,4.1989,8.2053
SPX,4/22/2013 12:00:00 AM,1555.25,1565.55,1548.19,1562.5,0,1561.2803,1561.9439,1567.6837,1587.2558,1488.9246,51.6614,1537.906,1564.34,1590.774,3.9357,7.3514
SPX,4/23/2013 12:00:00 AM,1562.5,1579.58,1562.5,1578.78,0,1564.7802,1543.4298,1576.4217,1595.6657,1499.1712,56.405,1539.2159,1565.6945,1592.1731,4.9833,6.8778
SPX,4/24/2013 12:00:00 AM,1578.78,1583,1575.8,1578.79,0,1567.5822,1558.1935,1551.9377,1609.0631,1514.3349,56.4078,1539.3823,1566.4455,1593.5087,5.7482,6.6519
SPX,4/25/2013 12:00:00 AM,1578.93,1592.64,1578.93,1585.16,0,1571.0978,1569.6761,1562.4618,1613.4859,1528.0957,58.2662,1539.367,1567.561,1595.755,6.79,6.6795
SPX,4/26/2013 12:00:00 AM,1585.16,1585.78,1577.56,1582.24,0,1573.3262,1576.0727,1569.4083,1618.8066,1535.9813,57.0652,1539.304,1568.2135,1597.123,7.296,6.8028
SPX,4/29/2013 12:00:00 AM,1582.34,1596.65,1582.34,1593.61,0,1577.383,1573.541,1566.7763,1611.928,1535.7346,60.4809,1539.0029,1569.7855,1600.5681,8.5163,7.1455
